id,title,lyricsType,lyrics,audioURL,category
50,50 พระกรุณาและปรานี,png,https://good4.eu/songs/50.png,,เพลงสั้นสรรเสริญ 20-148
51,51 ยังมีสายธารในพระพักตร์พระเจ้า,png,https://good4.eu/songs/51.png,,เพลงสั้นสรรเสริญ 20-148
52,52 ทรงเปลี่ยนความเศร้าโศก,png,https://good4.eu/songs/52.png,,เพลงสั้นสรรเสริญ 20-148
53,53 บุคคลผู้ใดกระหาย,png,https://good4.eu/songs/53.png,,เพลงสั้นสรรเสริญ 20-148
54,54 เราจะเดิน,png,https://good4.eu/songs/54.png,,เพลงสั้นสรรเสริญ 20-148
55,55 ในทุ่งหญ้าของพระเจ้า,png,https://good4.eu/songs/55.png,,เพลงสั้นสรรเสริญ 20-148
56,56 รู้สึกไหมถึงภูเขาไหว,png,https://good4.eu/songs/56.png,,เพลงสั้นสรรเสริญ 20-148
57,57 ไม่มีผู้ใดไม่มีนามใด,png,https://good4.eu/songs/57.png,,เพลงสั้นสรรเสริญ 20-148
58,58 องค์พระคริสต์ทรงนำทัพมุ่งไป,png,https://good4.eu/songs/58.png,,เพลงสั้นสรรเสริญ 20-148
59,59 สุขที่ไหนจะมาเปรียบปาน,png,https://good4.eu/songs/59.png,,เพลงสั้นสรรเสริญ 20-148
60,60 จงแสวงหาแผ่นดินของพระเจ้า,png,https://good4.eu/songs/60.png,,เพลงสั้นสรรเสริญ 20-148
61,61 เมื่อได้มอง,png,https://good4.eu/songs/61.png,,เพลงสั้นสรรเสริญ 20-148
62,62 โอ วิถีคนชอบธรรม,png,https://good4.eu/songs/62.png,,เพลงสั้นสรรเสริญ 20-148
63,63 สาธุการพระนามแด่พระเจ้า,png,https://good4.eu/songs/63.png,,เพลงสั้นสรรเสริญ 20-148
64,64 อัศจรรย์พระเยซูของเรา,png,https://good4.eu/songs/64.png,,เพลงสั้นสรรเสริญ 20-148
65,65 เกลือ และสว่าง,png,https://good4.eu/songs/65.png,,เพลงสั้นสรรเสริญ 20-148
66,66 โรมัน 16:19,png,https://good4.eu/songs/66.png,,เพลงสั้นสรรเสริญ 20-148
67,67 ไฟ ไฟ ไฟ,png,https://good4.eu/songs/67.png,,เพลงสั้นสรรเสริญ 20-148
68,68 เราพบพระเยซูคริสต์,png,https://good4.eu/songs/68.png,,เพลงสั้นสรรเสริญ 20-148
69,69 มีพระเยซูอยู่ในใจฉัน,png,https://good4.eu/songs/69.png,,เพลงสั้นสรรเสริญ 20-148
70,70 ฉันมีพระเยซูฉันจะไม่หวั่นไหว,png,https://good4.eu/songs/70.png,,เพลงสั้นสรรเสริญ 20-148
71,71 ฉันได้วางใจในพระเจ้า,png,https://good4.eu/songs/71.png,,เพลงสั้นสรรเสริญ 20-148
72,72 สรรเสริญพระเจ้า,png,https://good4.eu/songs/72.png,,เพลงสั้นสรรเสริญ 20-148
73,73 องค์พระเยซูคือผู้ใด,png,https://good4.eu/songs/73.png,,เพลงสั้นสรรเสริญ 20-148
74,74 โปรดทรงสำแดง,png,https://good4.eu/songs/74.png,,เพลงสั้นสรรเสริญ 20-148
75,75 ของประทานแห่งพระวิญญาณ,png,https://good4.eu/songs/75.png,,เพลงสั้นสรรเสริญ 20-148
76,76 ไหลล้นท่วมภูเขา และทะเล,png,https://good4.eu/songs/76.png,,เพลงสั้นสรรเสริญ 20-148
77,77 ชีวิตอยู่ในพระองค์,png,https://good4.eu/songs/77.png,,เพลงสั้นสรรเสริญ 20-148
78,78 พระเจ้ายิ่งใหญ่และสมควรจะสรรเสริญ,png,https://good4.eu/songs/78.png,,เพลงสั้นสรรเสริญ 20-148
79,79 จุดไฟลุกโชนในใจ,png,https://good4.eu/songs/79.png,,เพลงสั้นสรรเสริญ 20-148
80,80 พระคริสตเจ้าใครเปรียบได้,png,https://good4.eu/songs/80.png,,เพลงสั้นสรรเสริญ 20-148
81,81 ฉันรักคุณด้วยความรักของพระเจ้า,png,https://good4.eu/songs/81.png,,เพลงสั้นสรรเสริญ 20-148
82,82 แสนยินดี,png,https://good4.eu/songs/82.png,,เพลงสั้นสรรเสริญ 20-148
83,83 เริ่มให้ถูก,png,https://good4.eu/songs/83.png,,เพลงสั้นสรรเสริญ 20-148
84,84 ฉันเชื่อว่าสิ่งอัศจรรย์,png,https://good4.eu/songs/84.png,,เพลงสั้นสรรเสริญ 20-148
85,85 เดินกับพระเยซู,png,https://good4.eu/songs/85.png,,เพลงสั้นสรรเสริญ 20-148
86,86 ขอพระวิญญาณเทลงมา,png,https://good4.eu/songs/86.png,,เพลงสั้นสรรเสริญ 20-148
87,87 สายน้ำไหลหลาก,png,https://good4.eu/songs/87.png,,เพลงสั้นสรรเสริญ 20-148
88,88 โฮซันนาแด่พระเจ้าสูงสุด,png,https://good4.eu/songs/88.png,,เพลงสั้นสรรเสริญ 20-148
89,89 สรร[ระ]เสริญแด่พระเจ้า,png,https://good4.eu/songs/89.png,,เพลงสั้นสรรเสริญ 20-148
90,90 สรรเสริญพระนามขององค์พระเจ้า,png,https://good4.eu/songs/90.png,,เพลงสั้นสรรเสริญ 20-148
91,91 จงร้องเพลงสรรเสริญ,png,https://good4.eu/songs/91.png,,เพลงสั้นสรรเสริญ 20-148
92,92 พระเยซูคือองค์ราชันย์,png,https://good4.eu/songs/92.png,,เพลงสั้นสรรเสริญ 20-148
93,93 ชนะ ชนะ ชนะชั่วนิรันดร์,png,https://good4.eu/songs/93.png,,เพลงสั้นสรรเสริญ 20-148
94,94 ไม่มีอะไรที่ยากสำหรับพระเจ้า,png,https://good4.eu/songs/94.png,,เพลงสั้นสรรเสริญ 20-148
95,95 ข้ายกเสียงขึ้น,png,https://good4.eu/songs/95.png,,เพลงสั้นสรรเสริญ 20-148
96,96 พระเยซูชนะ,png,https://good4.eu/songs/96.png,,เพลงสั้นสรรเสริญ 20-148
97,97 ผู้ที่ทรงไถ่ไว้ของพระเจ้า,png,https://good4.eu/songs/97.png,,เพลงสั้นสรรเสริญ 20-148
98,98 ข้าไม่มีชีวิตอยู่ต่อไป,png,https://good4.eu/songs/98.png,,เพลงสั้นสรรเสริญ 20-148
99,99 วันต่อวันฉันเดินไปกับองค์พระเยซู,png,https://good4.eu/songs/99.png,,เพลงสั้นสรรเสริญ 20-148
100,100 พระเยซูเป็นที่รักของข้า,png,https://good4.eu/songs/100.png,,เพลงสั้นสรรเสริญ 20-148
102,102 อย่าลืม,png,https://good4.eu/songs/102.png,,เพลงสั้นสรรเสริญ 20-148
